module,related_mods
BSN4711,"['BSP1702', 'BSP1703', 'BSP2701']"
BSN4811,"['EC1101E', 'BSS4003A']"
BSN4811A,"['EC3303', 'BSE3703', 'ST3131', 'BSN4811']"
BSP1004,"['ACC3604', 'ACC3605', 'ACC3616']"
BSP1005,"['EC2101', 'EC2102', 'EC2374', 'EC3303', 'EC2383', 'BSS4003A', 'BSE3711', 'MKT3513']"
BSP1702,"['RE1703', 'ACC3702', 'ACC3703', 'ACC3706', 'BSN4711']"
BSP1702X,"['RE1703', 'ACC3702', 'ACC3703', 'ACC3706']"
BSP1703,"['EC2101', 'EC2102', 'EC2374', 'EC2383', 'BSP2701', 'BSE3702', 'BSE3703', 'BSE3701', 'BSE4711', 'BSN4811', 'BSP2011', 'BSN3715', 'BSN4711', 'MKT4714']"
BSP1707A,['BSP1005']
BSP1707B,['BSP1005']
BSP2011,"['EC1101E', 'BSP2701', 'BSP2005']"
BSP2701,"['BSP1703', 'EC1101E', 'EC1301', 'BSE3701', 'BSP2011', 'BSN3715', 'BSN4711']"
BSP3001A,"['BSP3001B', 'BSP3001C']"
BSP3001B,"['BSP3001A', 'BSP3001C']"
BSP3001C,"['BSP3001A', 'BSP3001B']"
BSS4003A,"['BSP1005', 'EC1301', 'DSC2008', 'EC2303']"
BSS4003B,"['EC3303', 'BSE3703', 'ST3131', 'BSN4811']"
BT1101,"['DSC1007', 'DSC1007X', 'EC2303', 'IS4241', 'BT2101', 'BT2102']"
BT2101,"['MA1102R', 'CP3880', 'BT3101', 'BT3102', 'BT4211', 'BT4212', 'BT4221', 'BT4222', 'IS4010', 'BT4240', 'BT4015', 'BT4016']"
BT2102,"['CS1010', 'BT1101', 'IS3240', 'BT3101', 'BT4211', 'BT4221', 'BT4222', 'IS4010', 'BT3103', 'IS4302', 'BT4014', 'BT4015', 'BT4016']"
BT3101,"['BT2101', 'BT2102', 'IS2101']"
BT3102,"['BT2101', 'BT4103', 'BT4012', 'BT4013']"
BT3103,"['BT2102', 'IS4242', 'BT4103']"
BT4010,['BT4011']
BT4011,"['BT4010', 'BT3101']"
BT4012,['BT3102']
BT4013,['BT3102']
BT4014,"['BT2102', 'IS5006']"
BT4015,"['BT2101', 'BT2102', 'CS2040']"
BT4016,"['BT2101', 'BT2102']"
BT4103,"['BT3102', 'BT3103', 'IS2101', 'BT3101']"
BT4211,['MKT1705X']
BT4221,"['BT2101', 'DBA3803', 'CS4225', 'CS5425']"
BT4222,"['BT2101', 'DBA3803']"
BT4240,"['MA1101R', 'MA1102R', 'IT3011', 'CS3244', 'IS4152']"
BT5110,['CS5344']
BT5126,['IS5126']
BT5151,"['BT4222', 'ST5202', 'IS5152']"
BT5153,['BT4222']
CDM5101,['CDM5102']
CDM5102,['CDM5101']
CE2112,"['TCE2112', 'CE5104', 'CE5106', 'CE5107', 'CE5108', 'OT5206', 'CE3115', 'CE3116']"
CE2134,"['ME2134', 'TCE2134', 'ESE5203', 'CE6077B', 'CE3132', 'ESE3401']"
CE2155,"['TCE2155', 'CE5513', 'CE5604', 'OT5202', 'CE3155', 'CE3166']"
